id;start_date;end_date;language
1;2020-10-23T11:21:04;2020-10-23T09:11:19;SPANISH
2;2020-10-22T16:11:15;2020-10-23T11:15:40;SPANISH
3;2020-10-23T07:06:34;2020-10-22T17:40:43;FRENCH
4;2020-10-22T22:24:05;2020-10-23T09:55:31;FRENCH
5;2020-10-23T07:54:23;2020-10-23T12:41:22;FRENCH
6;2020-10-23T01:46:44;2020-10-23T13:54:58;FRENCH
7;2020-10-23T03:32:04;2020-10-22T21:22:55;FRENCH
8;2020-10-23T02:28:17;2020-10-23T12:44:25;SPANISH
9;2020-10-23T01:09:26;2020-10-22T21:50:49;SPANISH
10;2020-10-23T09:21:30;2020-10-22T19:56:00;SPANISH
